Year,Round,Team 1,Team 1 Wins,Team 2,Team 2 Wins,Winner,Team 1_FG_PCT,Team 1_FG3_PCT,Team 1_PTS,Team 1_WinPCT,Team 2_FG_PCT,Team 2_FG3_PCT,Team 2_PTS,Team 2_WinPCT,Team 1_SRS,Team 2_SRS
2024,ECF,Boston Celtics,4,Indiana Pacers,0,Boston Celtics,0.487,0.388,9887,0.78,0.507,0.374,10110,0.573,10.75,2.75
2024,Finals,Boston Celtics,4,Dallas Mavericks,1,Boston Celtics,0.487,0.388,9887,0.78,0.481,0.369,9664,0.61,10.75,2.30
2024,WCF,Dallas Mavericks,4,Minnesota Timberwolves,1,Dallas Mavericks,0.481,0.369,9664,0.61,0.485,0.387,9264,0.683,2.30,6.39
2024,ECS,Boston Celtics,4,Cleveland Cavaliers,1,Boston Celtics,0.487,0.388,9887,0.78,0.479,0.367,9236,0.585,10.75,1.98
2024,ECS,Indiana Pacers,4,New York Knicks,3,Indiana Pacers,0.507,0.374,10110,0.573,0.465,0.369,9249,0.61,2.75,4.36
2024,WCS,Dallas Mavericks,4,Oklahoma City Thunder,2,Dallas Mavericks,0.481,0.369,9664,0.61,0.499,0.389,9847,0.695,2.30,7.36
2024,WCS,Minnesota Timberwolves,4,Denver Nuggets,3,Minnesota Timberwolves,0.485,0.387,9264,0.683,0.496,0.374,9418,0.695,6.39,5.23
2024,ECFR,Boston Celtics,4,Miami Heat,1,Boston Celtics,0.487,0.388,9887,0.78,0.465,0.37,9032,0.561,10.75,1.10
2024,ECFR,Cleveland Cavaliers,4,Orlando Magic,3,Cleveland Cavaliers,0.479,0.367,9236,0.585,0.476,0.352,9058,0.573,1.98,1.48
2024,ECFR,Indiana Pacers,4,Milwaukee Bucks,2,Indiana Pacers,0.507,0.374,10110,0.573,0.487,0.373,9756,0.598,2.75,2.44
2024,ECFR,New York Knicks,4,Philadelphia 76ers,2,New York Knicks,0.465,0.369,9249,0.61,0.464,0.363,9397,0.573,4.36,2.51
2024,WCFR,Dallas Mavericks,4,LA Clippers,2,Dallas Mavericks,0.481,0.369,9664,0.61,0.489,0.381,9481,0.622,2.30,3.41
2024,WCFR,Denver Nuggets,4,Los Angeles Lakers,1,Denver Nuggets,0.496,0.374,9418,0.695,0.499,0.377,9679,0.573,5.23,1.07
2024,WCFR,Minnesota Timberwolves,4,Phoenix Suns,0,Minnesota Timberwolves,0.485,0.387,9264,0.683,0.493,0.382,9532,0.598,6.39,3.08
2024,WCFR,Oklahoma City Thunder,4,New Orleans Pelicans,0,Oklahoma City Thunder,0.499,0.389,9847,0.695,0.486,0.383,9436,0.598,7.36,4.46
2023,Finals,Denver Nuggets,4,Miami Heat,1,Denver Nuggets,0.504,0.379,9495,0.646,0.46,0.344,8977,0.537,3.04,-0.13
2023,ECF,Miami Heat,4,Boston Celtics,3,Miami Heat,0.46,0.344,8977,0.537,0.475,0.377,9671,0.695,-0.13,6.38
2023,WCF,Denver Nuggets,4,Los Angeles Lakers,0,Denver Nuggets,0.504,0.379,9495,0.646,0.482,0.346,9608,0.524,3.04,0.43
2023,ECS,Boston Celtics,4,Philadelphia 76ers,3,Boston Celtics ,0.475,0.377,9671,0.695,0.487,0.387,9448,0.659,6.38,4.37
2023,ECS,Miami Heat,4,New York Knicks,2,Miami Heat,0.46,0.344,8977,0.537,0.47,0.354,9514,0.573,-0.13,2.99
2023,WCS,Denver Nuggets,4,Phoenix Suns,2,Denver Nuggets,0.504,0.379,9495,0.646,0.467,0.374,9319,0.549,3.04,2.08
